Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.2591		2.0797		0.0000		0.3204		0.00050000
2		1.9010		1.7234		0.0000		0.3729		0.00049775
3		1.6055		1.5045		0.0000		0.4197		0.00049550
4		1.3570		1.3050		0.0000		0.4725		0.00049324
5		1.1510		1.1162		0.0000		0.5138		0.00049099
6		0.9794		0.9669		0.0000		0.5290		0.00048874
7		0.8498		0.8432		0.0000		0.5409		0.00048648
8		0.7420		0.7370		0.0000		0.5536		0.00048422
9		0.6645		0.6665		0.0000		0.5618		0.00048196
10		0.5982		0.5944		0.0000		0.5802		0.00047970
11		0.5459		0.5967		0.0000		0.5918		0.00047744
12		0.5059		0.5097		0.0000		0.6022		0.00047518
13		0.4657		0.4591		0.0000		0.6278		0.00047292
14		0.4438		0.4217		0.0000		0.6482		0.00047065
15		0.4206		0.4428		0.0000		0.6021		0.00046839
16		0.4010		0.4039		0.0000		0.6382		0.00046612
17		0.3858		0.3661		0.0000		0.6678		0.00046385
18		0.3703		0.3728		0.0000		0.6658		0.00046158
19		0.3546		0.3354		0.0000		0.6642		0.00045931
20		0.3466		0.3384		0.0000		0.6758		0.00045704
21		0.3352		0.3571		0.0000		0.6542		0.00045477
22		0.3241		0.3446		0.0000		0.6789		0.00045249
23		0.3159		0.2988		0.0000		0.6931		0.00045022
24		0.3074		0.3362		0.0000		0.6761		0.00044794
25		0.3021		0.3013		0.0000		0.6893		0.00044566
26		0.2909		0.3020		0.0000		0.6968		0.00044338
27		0.2856		0.2985		0.0000		0.6880		0.00044110
28		0.2779		0.3099		0.0000		0.6874		0.00043882
29		0.2783		0.2900		0.0000		0.6682		0.00043653
30		0.2693		0.2845		0.0000		0.6909		0.00043425
31		0.2686		0.2868		0.0000		0.6902		0.00043196
32		0.2568		0.3291		0.0000		0.6985		0.00042968
33		0.2581		0.2844		0.0000		0.6950		0.00042739
34		0.2592		0.6776		0.0000		0.6048		0.00042510
35		0.2510		0.2819		0.0000		0.7058		0.00042281
36		0.2419		0.3080		0.0000		0.6901		0.00042051
37		0.2435		0.2816		0.0000		0.7152		0.00041822
38		0.2395		0.3410		0.0000		0.6841		0.00041592
39		0.2356		0.2785		0.0000		0.7165		0.00041362
40		0.2329		0.2769		0.0000		0.7019		0.00041133
41		0.2305		0.2581		0.0000		0.7159		0.00040903
42		0.2250		0.3097		0.0000		0.6935		0.00040672
43		0.2240		0.3274		0.0000		0.6844		0.00040442
44		0.2195		0.2595		0.0000		0.7244		0.00040212
45		0.2183		0.2956		0.0000		0.7046		0.00039981
46		0.2175		0.2735		0.0000		0.7013		0.00039750
47		0.2119		0.2742		0.0000		0.7098		0.00039520
48		0.2105		0.2813		0.0000		0.7042		0.00039288
49		0.2085		0.2546		0.0000		0.7154		0.00039057
50		0.2071		0.2618		0.0000		0.7179		0.00038826
51		0.2093		0.2984		0.0000		0.6987		0.00038594
52		0.2141		0.2866		0.0000		0.7153		0.00038363
53		0.2121		0.2734		0.0000		0.7041		0.00038131
54		0.1987		0.2587		0.0000		0.7043		0.00037899
55		0.1955		0.2801		0.0000		0.7107		0.00037667
56		0.2010		0.3147		0.0000		0.6964		0.00037435
57		0.1972		0.2543		0.0000		0.7282		0.00037202
58		0.1941		0.2665		0.0000		0.7179		0.00036970
59		0.2205		0.2621		0.0000		0.7049		0.00036737
60		0.2050		0.2465		0.0000		0.7130		0.00036504
61		0.1927		0.2669		0.0000		0.7322		0.00036271
62		0.1888		0.2767		0.0000		0.7065		0.00036038
63		0.1863		0.2600		0.0000		0.7227		0.00035804
64		0.1844		0.2584		0.0000		0.7232		0.00035571
65		0.1866		0.2457		0.0000		0.7330		0.00035337
66		0.1823		0.2843		0.0000		0.7275		0.00035103
67		0.1794		0.2827		0.0000		0.7166		0.00034869
68		0.1792		0.2481		0.0000		0.7357		0.00034635
69		0.1797		0.2408		0.0000		0.7283		0.00034400
70		0.1751		0.2456		0.0000		0.7267		0.00034165
71		0.1766		0.2704		0.0000		0.7175		0.00033931
72		0.1783		0.2485		0.0000		0.7224		0.00033696
73		0.1777		0.2520		0.0000		0.7347		0.00033460
74		0.1752		0.2715		0.0000		0.7172		0.00033225
75		0.1729		0.2414		0.0000		0.7260		0.00032990
76		0.1698		0.2846		0.0000		0.7215		0.00032754
77		0.1728		0.2582		0.0000		0.7218		0.00032518
78		0.1713		0.2450		0.0000		0.7221		0.00032282
79		0.1718		0.2401		0.0000		0.7218		0.00032045
80		0.1687		0.2555		0.0000		0.7168		0.00031809
81		0.1763		0.2673		0.0000		0.7081		0.00031572
82		0.1768		0.2532		0.0000		0.7175		0.00031335
83		0.1688		0.2618		0.0000		0.7269		0.00031098
84		0.1673		0.2426		0.0000		0.7209		0.00030861
85		0.1634		0.2525		0.0000		0.7256		0.00030624
86		0.1633		0.2768		0.0000		0.7218		0.00030386
87		0.1659		0.2457		0.0000		0.7212		0.00030148
88		0.1650		0.2808		0.0000		0.7233		0.00029910
89		0.1608		0.2582		0.0000		0.7299		0.00029671
90		0.1596		0.2571		0.0000		0.7236		0.00029433
91		0.1586		0.2521		0.0000		0.7356		0.00029194
92		0.1568		0.2425		0.0000		0.7424		0.00028955
93		0.1571		0.2511		0.0000		0.7226		0.00028716
94		0.1582		0.2706		0.0000		0.7300		0.00028477
95		0.1590		0.2438		0.0000		0.7259		0.00028237
96		0.1562		0.2567		0.0000		0.7296		0.00027997
97		0.1538		0.2701		0.0000		0.7306		0.00027757
98		0.1545		0.2913		0.0000		0.7143		0.00027517
99		0.1551		0.2447		0.0000		0.7275		0.00027276
100		0.1528		0.2463		0.0000		0.7262		0.00027035
101		0.1537		0.2564		0.0000		0.7334		0.00026794
102		0.1522		0.2431		0.0000		0.7369		0.00026553
103		0.1506		0.2420		0.0000		0.7397		0.00026312
104		0.1537		0.2445		0.0000		0.7210		0.00026070
105		0.1517		0.2331		0.0000		0.7333		0.00025828
106		0.1500		0.2506		0.0000		0.7258		0.00025586
107		0.1471		0.2416		0.0000		0.7406		0.00025343
108		0.1478		0.2256		0.0000		0.7437		0.00025100
109		0.1487		0.2529		0.0000		0.7390		0.00024857
110		0.1476		0.2487		0.0000		0.7232		0.00024614
111		0.1481		0.2463		0.0000		0.7310		0.00024370
112		0.1488		0.2448		0.0000		0.7378		0.00024126
113		0.1582		0.2497		0.0000		0.7246		0.00023882
114		0.1506		0.2455		0.0000		0.7260		0.00023638
115		0.1466		0.2394		0.0000		0.7381		0.00023393
116		0.1432		0.2570		0.0000		0.7361		0.00023148
117		0.1446		0.2420		0.0000		0.7310		0.00022903
118		0.1423		0.2951		0.0000		0.7216		0.00022658
119		0.1420		0.2418		0.0000		0.7257		0.00022412
120		0.1417		0.2369		0.0000		0.7419		0.00022166
121		0.1404		0.2244		0.0000		0.7352		0.00021919
122		0.1426		0.2302		0.0000		0.7414		0.00021672
123		0.1405		0.2406		0.0000		0.7391		0.00021425
124		0.1395		0.2280		0.0000		0.7389		0.00021178
125		0.1399		0.2345		0.0000		0.7392		0.00020930
126		0.1394		0.2532		0.0000		0.7350		0.00020682
127		0.1396		0.2493		0.0000		0.7334		0.00020434
128		0.1495		0.2278		0.0000		0.7228		0.00020185
129		0.1409		0.2400		0.0000		0.7424		0.00019936
130		0.1392		0.2648		0.0000		0.7307		0.00019687
131		0.1381		0.2577		0.0000		0.7304		0.00019437
