Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.3463		0.7197		0.0000		0.3017		0.00050000
2		0.5799		0.5168		0.0000		0.4045		0.00049775
3		0.4586		0.4601		0.0000		0.4272		0.00049550
4		0.3990		0.4109		0.0000		0.4583		0.00049324
5		0.3654		0.3771		0.0000		0.5021		0.00049099
6		0.3404		0.3691		0.0000		0.5190		0.00048874
7		0.3238		0.3739		0.0000		0.5099		0.00048648
8		0.3139		0.3613		0.0000		0.5242		0.00048422
9		0.3040		0.3337		0.0000		0.5274		0.00048196
10		0.2973		0.3296		0.0000		0.5494		0.00047970
11		0.2873		0.3350		0.0000		0.5333		0.00047744
12		0.2820		0.3154		0.0000		0.5609		0.00047518
13		0.2767		0.3181		0.0000		0.5719		0.00047292
14		0.2742		0.3471		0.0000		0.5358		0.00047065
15		0.2636		0.3125		0.0000		0.5698		0.00046839
16		0.2646		0.3220		0.0000		0.5569		0.00046612
17		0.2586		0.3161		0.0000		0.5741		0.00046385
18		0.2568		0.2989		0.0000		0.5955		0.00046158
19		0.2563		0.3185		0.0000		0.5681		0.00045931
20		0.2443		0.3029		0.0000		0.5790		0.00045704
21		0.2441		0.3049		0.0000		0.5913		0.00045477
22		0.2411		0.3029		0.0000		0.5894		0.00045249
23		0.2416		0.3598		0.0000		0.5683		0.00045022
24		0.2491		0.2988		0.0000		0.6031		0.00044794
25		0.2358		0.3016		0.0000		0.5956		0.00044566
26		0.2351		0.3378		0.0000		0.5417		0.00044338
27		0.2290		0.2932		0.0000		0.5998		0.00044110
28		0.2305		0.3802		0.0000		0.5225		0.00043882
29		0.2278		0.3094		0.0000		0.5933		0.00043653
30		0.2314		0.2820		0.0000		0.6187		0.00043425
31		0.2215		0.2826		0.0000		0.6259		0.00043196
32		0.2221		0.2927		0.0000		0.5950		0.00042968
33		0.2191		0.3210		0.0000		0.5820		0.00042739
34		0.2272		0.3112		0.0000		0.5682		0.00042510
35		0.2146		0.2920		0.0000		0.6046		0.00042281
36		0.2206		0.2845		0.0000		0.6032		0.00042051
37		0.2162		0.3481		0.0000		0.5646		0.00041822
38		0.2154		0.2723		0.0000		0.6329		0.00041592
39		0.2210		0.2841		0.0000		0.5965		0.00041362
40		0.2137		0.3293		0.0000		0.5644		0.00041133
41		0.2196		0.2751		0.0000		0.6310		0.00040903
42		0.2004		0.3046		0.0000		0.6281		0.00040672
43		0.2056		0.2670		0.0000		0.6473		0.00040442
44		0.2250		0.2787		0.0000		0.6108		0.00040212
45		0.2022		0.3039		0.0000		0.6265		0.00039981
46		0.1941		0.2765		0.0000		0.6367		0.00039750
47		0.2080		0.3031		0.0000		0.6096		0.00039520
48		0.2047		0.2923		0.0000		0.6266		0.00039288
49		0.2014		0.2732		0.0000		0.6355		0.00039057
50		0.2078		0.2663		0.0000		0.6434		0.00038826
51		0.1954		0.2741		0.0000		0.6416		0.00038594
52		0.2083		0.2761		0.0000		0.6272		0.00038363
53		0.1986		0.3070		0.0000		0.5810		0.00038131
54		0.1922		0.2675		0.0000		0.6443		0.00037899
55		0.1924		0.3709		0.0000		0.5716		0.00037667
56		0.2105		0.2853		0.0000		0.6317		0.00037435
57		0.1968		0.2926		0.0000		0.6218		0.00037202
58		0.1989		0.2736		0.0000		0.6495		0.00036970
59		0.1829		0.2818		0.0000		0.6280		0.00036737
60		0.2111		0.2809		0.0000		0.6341		0.00036504
61		0.1899		0.2757		0.0000		0.6335		0.00036271
62		0.1967		0.2759		0.0000		0.6279		0.00036038
63		0.1875		0.2682		0.0000		0.6361		0.00035804
64		0.1853		0.3149		0.0000		0.6278		0.00035571
65		0.1860		0.2866		0.0000		0.6239		0.00035337
66		0.1990		0.2655		0.0000		0.6490		0.00035103
67		0.1814		0.2557		0.0000		0.6530		0.00034869
68		0.1854		0.2911		0.0000		0.6239		0.00034635
69		0.1854		0.2691		0.0000		0.6517		0.00034400
70		0.1937		0.3620		0.0000		0.5366		0.00034165
71		0.1951		0.2815		0.0000		0.6313		0.00033931
72		0.1991		0.3104		0.0000		0.5934		0.00033696
73		0.1864		0.2589		0.0000		0.6575		0.00033460
74		0.1723		0.2815		0.0000		0.6365		0.00033225
75		0.1769		0.2639		0.0000		0.6565		0.00032990
76		0.2142		0.2818		0.0000		0.6258		0.00032754
77		0.1881		0.2742		0.0000		0.6554		0.00032518
78		0.1770		0.2856		0.0000		0.6248		0.00032282
79		0.1801		0.2567		0.0000		0.6628		0.00032045
80		0.1702		0.2610		0.0000		0.6639		0.00031809
81		0.1717		0.2747		0.0000		0.6586		0.00031572
82		0.1959		0.3021		0.0000		0.6247		0.00031335
83		0.1746		0.2590		0.0000		0.6722		0.00031098
84		0.1689		0.2750		0.0000		0.6551		0.00030861
85		0.1722		0.2574		0.0000		0.6617		0.00030624
86		0.1877		0.2703		0.0000		0.6569		0.00030386
87		0.1806		0.2791		0.0000		0.6262		0.00030148
88		0.1800		0.3127		0.0000		0.5986		0.00029910
89		0.1777		0.2615		0.0000		0.6524		0.00029671
90		0.1684		0.2966		0.0000		0.6075		0.00029433
91		0.1750		0.2744		0.0000		0.6340		0.00029194
92		0.1689		0.2650		0.0000		0.6717		0.00028955
93		0.1685		0.2550		0.0000		0.6631		0.00028716
94		0.1703		0.2939		0.0000		0.6340		0.00028477
95		0.1706		0.3355		0.0000		0.5789		0.00028237
96		0.1779		0.2578		0.0000		0.6647		0.00027997
97		0.1690		0.2665		0.0000		0.6494		0.00027757
98		0.1738		0.2768		0.0000		0.6396		0.00027517
99		0.1622		0.2652		0.0000		0.6668		0.00027276
100		0.1602		0.2635		0.0000		0.6543		0.00027035
101		0.1761		0.2849		0.0000		0.6133		0.00026794
102		0.1745		0.2754		0.0000		0.6390		0.00026553
103		0.1603		0.2618		0.0000		0.6658		0.00026312
104		0.1579		0.2587		0.0000		0.6730		0.00026070
105		0.1572		0.2639		0.0000		0.6689		0.00025828
106		0.1665		0.3097		0.0000		0.6554		0.00025586
