Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.0899		0.7847		0.0000		0.3190		0.00050000
2		0.4631		0.4678		0.0000		0.4341		0.00049775
3		0.3685		0.4069		0.0000		0.4881		0.00049550
4		0.3278		0.3669		0.0000		0.5369		0.00049324
5		0.3045		0.3369		0.0000		0.5421		0.00049099
6		0.2893		0.4007		0.0000		0.5217		0.00048874
7		0.2668		0.3738		0.0000		0.5358		0.00048648
8		0.2802		0.3313		0.0000		0.5783		0.00048422
9		0.2646		0.3265		0.0000		0.5726		0.00048196
10		0.2442		0.3130		0.0000		0.5998		0.00047970
11		0.2768		0.3130		0.0000		0.5926		0.00047744
12		0.2472		0.3320		0.0000		0.5622		0.00047518
13		0.2378		0.3056		0.0000		0.6023		0.00047292
14		0.2259		0.3264		0.0000		0.5938		0.00047065
15		0.2458		0.3189		0.0000		0.5920		0.00046839
16		0.2397		0.3008		0.0000		0.6089		0.00046612
17		0.2135		0.3129		0.0000		0.5994		0.00046385
18		0.2306		0.3175		0.0000		0.6068		0.00046158
19		0.2249		0.3643		0.0000		0.5578		0.00045931
20		0.2205		0.3059		0.0000		0.5973		0.00045704
21		0.2123		0.3133		0.0000		0.5781		0.00045477
22		0.2131		0.3362		0.0000		0.5717		0.00045249
23		0.2175		0.3197		0.0000		0.5760		0.00045022
24		0.2162		0.3097		0.0000		0.6134		0.00044794
25		0.2072		0.3492		0.0000		0.5501		0.00044566
26		0.2154		0.2942		0.0000		0.6240		0.00044338
27		0.2033		0.3005		0.0000		0.6265		0.00044110
28		0.2079		0.3639		0.0000		0.5540		0.00043882
29		0.2106		0.4178		0.0000		0.5194		0.00043653
30		0.2081		0.2874		0.0000		0.6306		0.00043425
31		0.1931		0.2844		0.0000		0.6113		0.00043196
32		0.1903		0.2885		0.0000		0.6410		0.00042968
33		0.2168		0.3200		0.0000		0.6048		0.00042739
34		0.2206		0.2812		0.0000		0.6264		0.00042510
35		0.1866		0.2741		0.0000		0.6358		0.00042281
36		0.1826		0.2883		0.0000		0.6336		0.00042051
37		0.2211		0.2921		0.0000		0.6156		0.00041822
38		0.1956		0.2874		0.0000		0.6335		0.00041592
39		0.1932		0.3444		0.0000		0.5681		0.00041362
40		0.1903		0.2908		0.0000		0.6367		0.00041133
41		0.1849		0.3078		0.0000		0.6022		0.00040903
42		0.2091		0.3790		0.0000		0.5428		0.00040672
43		0.2063		0.2713		0.0000		0.6473		0.00040442
44		0.1772		0.2778		0.0000		0.6474		0.00040212
45		0.1952		0.3156		0.0000		0.5731		0.00039981
46		0.1937		0.3174		0.0000		0.6069		0.00039750
