Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.9662		0.7903		0.0000		0.2425		0.00050000
1		0.9891		0.9024		0.0000		0.2141		0.00050000
2		0.6909		0.8336		0.0000		0.2472		0.00049775
3		0.5944		0.6188		0.0000		0.3044		0.00049550
4		0.5314		0.5553		0.0000		0.3405		0.00049324
5		0.4907		0.5164		0.0000		0.3499		0.00049099
6		0.4533		0.5329		0.0000		0.3606		0.00048874
7		0.4275		0.4651		0.0000		0.4065		0.00048648
8		0.4103		0.4533		0.0000		0.4044		0.00048422
9		0.3933		0.4430		0.0000		0.4259		0.00048196
10		0.3772		0.4695		0.0000		0.4109		0.00047970
11		0.3614		0.4210		0.0000		0.4359		0.00047744
12		0.3474		0.3942		0.0000		0.4743		0.00047518
13		0.3505		0.3840		0.0000		0.4668		0.00047292
14		0.3281		0.3797		0.0000		0.4787		0.00047065
15		0.3198		0.3916		0.0000		0.4590		0.00046839
16		0.3137		0.3592		0.0000		0.4831		0.00046612
17		0.2980		0.3893		0.0000		0.4786		0.00046385
18		0.3108		0.4086		0.0000		0.4729		0.00046158
19		0.2947		0.4134		0.0000		0.4708		0.00045931
20		0.2828		0.3435		0.0000		0.5208		0.00045704
21		0.2801		0.3545		0.0000		0.4922		0.00045477
22		0.2769		0.3380		0.0000		0.5154		0.00045249
23		0.2724		0.3330		0.0000		0.5181		0.00045022
24		0.2669		0.3179		0.0000		0.5370		0.00044794
25		0.2662		0.3231		0.0000		0.5247		0.00044566
26		0.2600		0.3222		0.0000		0.5371		0.00044338
27		0.2586		0.3178		0.0000		0.5504		0.00044110
28		0.2508		0.3223		0.0000		0.5400		0.00043882
29		0.2541		0.3282		0.0000		0.5275		0.00043653
30		0.2395		0.3143		0.0000		0.5325		0.00043425
31		0.2440		0.3037		0.0000		0.5690		0.00043196
32		0.2407		0.3036		0.0000		0.5544		0.00042968
33		0.2432		0.2987		0.0000		0.5616		0.00042739
34		0.2351		0.2897		0.0000		0.5686		0.00042510
35		0.2252		0.2933		0.0000		0.5667		0.00042281
36		0.2251		0.3124		0.0000		0.5415		0.00042051
37		0.2320		0.3419		0.0000		0.5222		0.00041822
38		0.2240		0.2881		0.0000		0.5677		0.00041592
39		0.2299		0.2989		0.0000		0.5570		0.00041362
40		0.2226		0.3034		0.0000		0.5671		0.00041133
41		0.2156		0.2942		0.0000		0.5618		0.00040903
42		0.2182		0.2979		0.0000		0.5751		0.00040672
43		0.2111		0.2806		0.0000		0.5996		0.00040442
44		0.2123		0.3649		0.0000		0.5193		0.00040212
45		0.2154		0.2824		0.0000		0.5912		0.00039981
46		0.2108		0.3073		0.0000		0.5574		0.00039750
47		0.2145		0.3165		0.0000		0.5761		0.00039520
48		0.2084		0.2897		0.0000		0.5919		0.00039288
