Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.1592		2.1991		0.0000		0.1730		0.00050000
2		1.8482		2.0868		0.0000		0.2035		0.00049775
3		1.6263		1.8092		0.0000		0.2682		0.00049550
4		1.4299		1.6148		0.0000		0.3197		0.00049324
5		1.2648		1.4688		0.0000		0.3501		0.00049099
6		1.1295		1.2831		0.0000		0.3734		0.00048874
7		1.0177		1.1751		0.0000		0.4186		0.00048648
8		0.9293		1.0792		0.0000		0.3983		0.00048422
9		0.8643		1.0037		0.0000		0.4664		0.00048196
10		0.8081		0.9274		0.0000		0.4216		0.00047970
11		0.7623		0.9373		0.0000		0.4608		0.00047744
12		0.7231		0.7195		0.0000		0.4719		0.00047518
13		0.6773		0.5852		0.0000		0.4985		0.00047292
14		0.6455		0.9626		0.0000		0.4693		0.00047065
15		0.6232		0.7727		0.0000		0.4756		0.00046839
16		0.5602		0.5257		0.0000		0.4878		0.00046612
17		0.5431		0.5437		0.0000		0.5140		0.00046385
18		0.5284		0.5627		0.0000		0.5121		0.00046158
19		0.5039		0.5155		0.0000		0.4824		0.00045931
20		0.4975		0.4837		0.0000		0.4818		0.00045704
21		0.4683		0.4750		0.0000		0.5012		0.00045477
22		0.4829		0.5285		0.0000		0.5084		0.00045249
23		0.4364		0.5045		0.0000		0.5181		0.00045022
24		0.4142		0.5060		0.0000		0.5358		0.00044794
25		0.4014		0.4369		0.0000		0.5383		0.00044566
26		0.4052		0.4399		0.0000		0.5127		0.00044338
27		0.4000		0.7161		0.0000		0.5122		0.00044110
28		0.3765		0.4304		0.0000		0.5357		0.00043882
29		0.3749		0.4229		0.0000		0.5230		0.00043653
30		0.3617		0.4101		0.0000		0.5163		0.00043425
31		0.3494		0.5071		0.0000		0.5261		0.00043196
32		0.3447		0.4400		0.0000		0.5573		0.00042968
33		0.3422		0.4402		0.0000		0.5457		0.00042739
34		0.3383		0.4494		0.0000		0.5510		0.00042510
35		0.4115		0.6214		0.0000		0.5262		0.00042281
36		0.3470		0.4214		0.0000		0.5158		0.00042051
37		0.3274		0.3616		0.0000		0.5591		0.00041822
38		0.3210		0.4375		0.0000		0.5673		0.00041592
39		0.3051		0.3671		0.0000		0.5790		0.00041362
40		0.3038		0.4539		0.0000		0.5485		0.00041133
41		0.3056		0.5119		0.0000		0.5419		0.00040903
42		0.3073		0.3929		0.0000		0.5504		0.00040672
43		0.3052		0.4481		0.0000		0.5564		0.00040442
44		0.2835		0.4156		0.0000		0.5497		0.00040212
45		0.2833		0.3788		0.0000		0.5755		0.00039981
46		0.2753		0.3512		0.0000		0.5726		0.00039750
47		0.2642		0.3664		0.0000		0.5729		0.00039520
48		0.2757		0.4349		0.0000		0.5644		0.00039288
49		0.2696		0.4073		0.0000		0.5617		0.00039057
50		0.2600		0.4049		0.0000		0.5743		0.00038826
51		0.2862		0.4519		0.0000		0.5640		0.00038594
52		0.2683		0.3936		0.0000		0.5688		0.00038363
53		0.3175		0.5560		0.0000		0.5161		0.00038131
54		0.2792		0.5446		0.0000		0.5738		0.00037899
55		0.2516		0.3783		0.0000		0.5714		0.00037667
56		0.2455		0.3949		0.0000		0.5656		0.00037435
57		0.2428		0.4118		0.0000		0.5829		0.00037202
