Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.9595		2.4275		0.0000		0.0946		0.00050000
1		1.9231		4.9046		0.0000		0.0233		0.00050000
2		1.4555		8.8747		0.0000		0.0376		0.00049775
3		1.2980		9.5939		0.0000		0.0034		0.00049550
1		1.9004		1.8063		0.0000		0.2078		0.00050000
2		1.4485		1.6872		0.0000		0.2123		0.00049775
3		1.3260		1.5880		0.0000		0.2586		0.00049550
4		1.2423		1.2742		0.0000		0.3350		0.00049324
5		1.1359		1.2790		0.0000		0.3577		0.00049099
6		1.0854		1.2553		0.0000		0.3490		0.00048874
7		1.0525		1.1493		0.0000		0.3934		0.00048648
8		1.0057		1.2166		0.0000		0.3102		0.00048422
9		0.9531		0.8831		0.0000		0.4284		0.00048196
10		0.8882		0.9000		0.0000		0.4150		0.00047970
11		0.8746		0.9651		0.0000		0.3967		0.00047744
12		0.8396		0.9114		0.0000		0.4101		0.00047518
13		0.7846		0.8386		0.0000		0.4518		0.00047292
14		0.7808		0.7479		0.0000		0.4580		0.00047065
15		0.7193		0.9008		0.0000		0.4384		0.00046839
16		0.7108		0.8367		0.0000		0.3888		0.00046612
17		0.7028		0.7460		0.0000		0.4740		0.00046385
18		0.6814		0.7206		0.0000		0.4318		0.00046158
19		0.6685		0.7437		0.0000		0.4159		0.00045931
20		0.6263		0.7805		0.0000		0.4616		0.00045704
21		0.5937		0.7252		0.0000		0.4434		0.00045477
22		0.5871		0.7159		0.0000		0.4671		0.00045249
23		0.5843		0.6389		0.0000		0.4790		0.00045022
24		0.5776		0.7315		0.0000		0.4587		0.00044794
25		0.5455		0.7550		0.0000		0.4516		0.00044566
26		0.5209		0.5763		0.0000		0.4579		0.00044338
27		0.5322		0.5869		0.0000		0.4957		0.00044110
28		0.5251		0.6919		0.0000		0.4128		0.00043882
29		0.4962		0.6250		0.0000		0.4839		0.00043653
30		0.4962		0.7148		0.0000		0.4518		0.00043425
31		0.4806		0.7176		0.0000		0.4883		0.00043196
32		0.4598		0.7689		0.0000		0.4500		0.00042968
33		0.4554		0.5377		0.0000		0.4952		0.00042739
34		0.4252		0.6714		0.0000		0.4645		0.00042510
35		0.4156		0.5887		0.0000		0.4811		0.00042281
36		0.4375		0.5520		0.0000		0.5111		0.00042051
37		0.4268		0.6242		0.0000		0.4787		0.00041822
38		0.4130		0.5386		0.0000		0.5036		0.00041592
39		0.3891		0.5608		0.0000		0.5045		0.00041362
40		0.3817		0.5744		0.0000		0.4962		0.00041133
41		0.3791		0.5903		0.0000		0.5132		0.00040903
42		0.3951		0.5741		0.0000		0.4998		0.00040672
43		0.3671		0.6515		0.0000		0.4965		0.00040442
44		0.3587		0.6302		0.0000		0.4939		0.00040212
45		0.3553		0.5561		0.0000		0.5058		0.00039981
